"Einstiegsalter"	"gesamt"	"1970-1974"	"1975-1979"	"1980-1984"	"1985-1989"	"1990-1994"	"1995-1999"	"2000-2004"
0	5	0	0	0	0	1	2	1
1	1	0	0	0	1	0	0	0
2	9	0	0	1	1	1	5	1
3	20	0	1	1	3	5	9	1
4	42	0	1	4	12	8	16	1
5	86	1	2	8	16	31	26	1
6	179	3	7	29	29	65	37	9
7	107	1	3	13	21	36	28	4
8	116	2	3	18	18	39	31	5
9	60	2	4	11	12	14	13	4
10	92	1	6	14	29	16	23	2
11	41	2	7	6	8	7	9	1
12	41	6	4	7	9	6	7	0
13	24	2	7	4	3	5	3	0
14	34	2	4	10	3	8	7	0
15	14	1	4	3	1	2	2	0
16	15	4	6	3	0	1	0	0
17	15	3	1	4	2	1	1	0
18	6	2	2	0	0	0	0	0
19	2	0	2	0	0	0	0	0
20	4	1	0	2	0	0	0	0
