"(??) A1"	"A1"
"(???) -"	"-"
"(???) 3 Gewinnt (Big Fish)"	"3 Gewinnt (Big Fish)"
"(???) 3 Gewinnt (Big Fish)"	"Big Fish 3 Gewinnt"
"(???) Age of Conan"	"Age of Conan"
"(???) Alien vs. Predator"	"Alien vs. Predator"
"(???) Alien"	"Alien"
"(???) Anno"	"Anno Reihe"
"(???) Anno"	"Anno"
"(???) Assassin's Creed 4: Unity"	"AC 4: Unity"
"(???) Assassin's Creed"	"Assains Creed"
"(???) Assassin's Creed"	"Assasin's Creed"
"(???) Assassin's Creed"	"Assasins Creed"
"(???) Assassin's Creed"	"Assassin"
"(???) Assassin's Creed"	"Assassin's Creed Reihe"
"(???) Assassin's Creed"	"Assassin's Creed"
"(???) Assassin's Creed"	"Assassine Creed"
"(???) Assassin's Creed"	"Assassins Creed Reihe"
"(???) Assassin's Creed"	"Assassins Creed"
"(???) Assassin's Creed"	"Assassin´s Creed"
"(???) Assassin's Creed"	"Assassin’s Creed"
"(???) Assassin's Creed"	"Assasssins Creed"
"(???) Assassin's Creed"	"ass creed"
"(???) Assassin's Creed"	"assasins cremend"
"(???) Attack of the Titans"	"Attack of the Titans"
"(???) Avatar"	"Avatar"
"(???) BF"	"BF"
"(???) BF23"	"BF23"
"(???) Baldur's Gate 1+2"	"Baldur's Gate 1+2"
"(???) Bat man"	"Bat man"
"(???) Batman"	"Batman"
"(???) Batman"	"Batmann"
"(???) Battlefield 3/4"	"Battlefield 3 und 4"
"(???) Battlefield 3/4"	"Battlefield 3/4"
"(???) Battlefield Reihe"	"Battlefield Reihe"
"(???) Battlefield"	"BF"
"(???) Battlefield"	"Battelfield"
"(???) Battlefield"	"Battlefield Reihe"
"(???) Battlefield"	"Battlefield"
"(???) Battlefield: Modern Warfacre"	"Battlefield: Modern Warfacre"
"(???) Bayonetta 1+2"	"Bayonetta 1+2"
"(???) Biohazard rebirth"	"Biohazard rebirth"
"(???) Bioshock 1&2"	"Bioshock 1&2"
"(???) BlazBlue (alle Spielereihe)"	"BlazBlue (alle Spielereihe)"
"(???) C&C alle Teile"	"(???) C&C alle Teile"
"(???) C&C alle Teile"	"C&C alle Teile"
"(???) Call of Duty Advanced Warfigher"	"Call of Duty Advanced Warfigher"
"(???) Call of Duty diverse"	"(???) Call of Duty diverse"
"(???) Call of Duty diverse"	"Call of Duty diverse"
"(???) Civilization"	"Civilisation"
"(???) Civilization"	"Civilization"
"(???) Civilization"	"Zivilisation"
"(???) Colin Mcrae rally"	"Colin Mcrae rally"
"(???) Crash Bandicoot 2"	"Crash Bandicoot 2"
"(???) Croqinole"	"Croqinole"
"(???) Dark Souls 1+2"	"Dark Souls 1+2"
"(???) Deponia (Teil 2 & 3 )"	"Deponia (Teil 2 & 3 )"
"(???) Deponia - the Complete Journey"	"Deponia -  the Complete Journey"
"(???) Deponia - the Complete Journey"	"Deponia - the Complete Journey"
"(???) Deponia 1-3"	"Deponia 1-3"
"(???) Deponia-Serie"	"Deponia-Serie"
"(???) Die Sims 2 / 3"	"Die Sims 2 / 3"
"(???) Dirt Sc"	"Dirt Sc"
"(???) Divinity"	"Divinity"
"(???) Doppelkopf"	"Doppelkopf"
"(???) Doto.2"	"Doto.2"
"(???) Downhill Racing"	"Downhill Racing"
"(???) Dragon Age 1 - 3"	"Dragon Age 1 - 3"
"(???) Dragon Age 1+3"	"Dragon Age 1+3"
"(???) Dragon Age Series"	"Dragon Age Series"
"(???) Dragon Age alle Teile"	"Dragon Age alle Teile"
"(???) Dragon AgeO"	"Dragon AgeO"
"(???) Dragon Agentur 3"	"Dragon Agentur 3"
"(???) Duolingo"	"Duolingo"
"(???) EA UFC Undisputed"	"EA UFC Undisputed"
"(???) Eschalon"	"Eschalon"
"(???) Europa Universalis V"	"Europa Universalis 5"
"(???) Evoker"	"Evoker"
"(???) F.E.A.R. 1, 2 & 3"	"F.E.A.R. 1, 2 & 3"
"(???) Family Guy (Android)"	"Family Guy (Android)"
"(???) Family Guy"	"Family Guy"
"(???) Far Cry 3/4"	"Far Cry 3/4"
"(???) Far Cry Reihe"	"Far Cry Reihe"
"(???) Farcry alle Teile"	"Farcry alle Teile"
"(???) Farming Simulator"	"Farming Simulator"
"(???) Fifa"	"Fifa"
"(???) Flash spiele auf kongregate.com und armorgames.com"	"Flash spiele auf kongregate.com und armorgames.com"
"(???) Football Manager"	"Football Manager"
"(???) Forza Motorsport"	"Forza Motorsport"
"(???) Forza"	"forza"
"(???) Fußball Manager"	"Fußball Manager"
"(???) Galactic Empire"	"Galactic Empire"
"(???) Genius Unternehmen Physik"	"Genius Physik"
"(???) Genre: RTS"	"Genre: RTS"
"(???) Genre: Shmups"	"Genre: Shmups"
"(???) God Of War 1+3"	"God Of War 1+3"
"(???) Gran Turismo"	"Gran Turismo"
"(???) Halo - The Master Chief Collection"	"Halo - The Master Chief Collection"
"(???) Halo 1-4"	"Halo 1-4"
